Біграмма;Частота;Вірогідність;
те;3098;0.00687924679131323;
од;3033;0.006734911400275347;
ор;2978;0.006612781454012524;
др;476;0.001056979171292801;
ай;408;0.0009059821468224009;
зе;155;0.0003441843940134121;
рф;12;2.6646533730070613e-05;
ин;2809;0.006237509437314029;
ан;2969;0.006592796553714971;
си;805;0.001787538304392237;
ст;6662;0.014793267309144202;
фи;395;0.0008771150686148244;
ла;2939;0.006526180219389794;
де;3011;0.006686059421770218;
ль;2241;0.004976240174090687;
яг;142;0.0003153173158058356;
ро;3652;0.00810942843185149;
ди;1084;0.002407070213616379;
лс;952;0.002113958342585602;
яф;48;0.00010658613492028245;
рэ;309;0.0006861482435493183;
нк;722;0.0016032331127592485;
ал;3605;0.008005062841408714;
дж;314;0.0006972509659368477;
ер;4815;0.010691921659190834;
но;5561;0.012348447839410224;
ау;1248;0.002771239507927344;
пе;1924;0.004272327574721322;
рв;1122;0.0024914509037616025;
уд;2242;0.004978460718568193;
на;4894;0.010867344672913799;
сч;261;0.0005795621086290358;
ит;2700;0.005995470089265888;
ыв;646;0.0014344717324688014;
ат;3408;0.007567615579340054;
ог;2540;0.005640182972864946;
да;2495;0.005540258471377181;
бо;1234;0.0027401518852422616;
ле;2577;0.005722343118532664;
ед;2287;0.005078385220055957;
ву;1171;0.0026002575831593905;
хс;233;0.0005173868632588711;
от;3703;0.00822267620020429;
пя;205;0.0004552116178887063;
ти;2520;0.005595772083314829;
ся;2357;0.0052338233334813695;
ты;804;0.001785317759914731;
чж;1;2.2205444775058845e-06;
ел;3295;0.0073166940533818895;
ей;1258;0.0027934449527024026;
го;4326;0.009606075409690456;
дэ;47;0.00010436559044277657;
то;6297;0.013982768574854554;
зо;328;0.0007283385886219301;
би;473;0.0010503175378602833;
ло;2936;0.006519518585957277;
ва;2940;0.0065284007638673;
лк;355;0.000788293289514589;
ра;3814;0.008469156637207443;
вы;1383;0.003071013012390638;
ми;2037;0.0045232491006794865;
па;581;0.0012901363414309188;
рк;201;0.00044632943997868275;
ам;1769;0.00392814318070791;
ив;1914;0.004250122129946263;
ич;826;0.0018341697384198605;
ес;3713;0.008244881644979348;
тв;1738;0.0038593063019052272;
ен;5204;0.011555713460940623;
ны;2147;0.004767508993205134;
зд;423;0.0009392903139849891;
ия;1124;0.0024958919927166143;
ип;972;0.0021583692321357198;
ят;1143;0.002538082337789226;
ни;4226;0.009384020961939868;
ка;4020;0.008926588799573655;
ар;1245;0.002764577874494826;
ым;919;0.002040680374827908;
из;1338;0.0029710885109028736;
чт;1612;0.003579517697739486;
оз;1076;0.002389305857796332;
ем;2890;0.006417373539992006;
мы;511;0.001134698228005507;
по;4434;0.009845894213261092;
не;5402;0.011995381267486787;
еу;341;0.0007572056668295066;
зн;1132;0.0025136563485366613;
фр;295;0.000655060620864236;
эн;339;0.0007527645778744948;
кт;449;0.000997024470400142;
