Біграмма;Частота;Вірогідність;
те;6218;0.006903672780565795;
ео;1603;0.0017797663987209663;
од;6075;0.006744903850424124;
до;4868;0.0054048052582493225;
ор;5858;0.006503974774614735;
рд;469;0.0005207176799751299;
др;981;0.0010891770662166363;
ра;7579;0.00841475329750855;
ай;818;0.0009082026912999067;
йз;149;0.0001654305635741884;
зе;298;0.0003308611271483768;
ер;9672;0.010738553093218457;
рф;22;2.442598925256473e-05;
фи;832;0.0009237465026424479;
ин;5590;0.006206421814628947;
на;9743;0.010817382422169916;
ан;5830;0.006472887151929653;
нс;1233;0.0013689656703823778;
си;1598;0.0017742150375272016;
ис;5107;0.005670160323311276;
ст;13258;0.014719989341386509;
тф;38;4.21903450726118e-05;
ил;4744;0.005267131500643958;
ла;5867;0.006513967224763512;
ад;2791;0.0030987698183594617;
де;6063;0.006731580583559089;
ел;6515;0.007233423635475419;
ль;4468;0.0049606963627481454;
ьф;228;0.00025314207043567084;
ия;2175;0.002414842119287649;
яг;265;0.00029422214326952967;
гд;1088;0.0012079761957632012;
ро;7260;0.00806057645334636;
ди;2157;0.0023948572189900963;
лс;1902;0.002111737798108096;
ся;4662;0.005176089177066217;
яф;92;0.00010214504596527068;
фр;607;0.0006739352489230359;
рэ;599;0.0006650530710130124;
эн;695;0.0007716392059332948;
нк;1406;0.0015610427676866368;
ка;8006;0.008888839543456055;
ал;7084;0.007865168539325843;
лд;259;0.00028756050983701204;
дж;614;0.0006817071545943066;
же;4553;0.005055069503042146;
рн;930;0.0010325531820402363;
но;11028;0.012244082248967447;
он;9144;0.010152329351156904;
ау;2464;0.00273571079628725;
уп;3357;0.003727183905493627;
пе;3707;0.004115779189057157;
рв;2207;0.0024503708309277436;
ву;2402;0.002666873917484567;
уд;4321;0.004797486343651463;
дн;1906;0.0021161788870631077;
ас;5291;0.005874450415241817;
сч;505;0.0005606874805702359;
чи;1667;0.0018508238220011548;
ит;5451;0.006052093973442288;
ты;1597;0.0017731047652884487;
ыв;1328;0.0014744415330639072;
ва;5849;0.006493982324465959;
ат;6927;0.00769085579784163;
то;12920;0.014344717324688014;
ог;5111;0.0056746014122662876;
да;5054;0.00561131589465737;
аб;1212;0.001345649953368566;
бо;2441;0.002710174534795932;
ол;6415;0.007122396411600124;
ле;5224;0.00580006217524537;
ее;2305;0.002559177510325532;
ед;4549;0.005050628414087134;
дв;1024;0.0011369187724830129;
ух;325;0.00036083847759470623;
хс;482;0.0005351512190789182;
со;3444;0.003823777590265133;
от;7344;0.008153839321401608;
тп;651;0.0007227872274281654;
пя;395;0.0004385575343074122;
ят;2297;0.0025502953324155085;
ти;5065;0.005623528889283652;
ид;2287;0.0025391926100279787;
ес;7454;0.008275969267664432;
ыс;1349;0.0014977572500777191;
яч;644;0.0007150153217568948;
чж;1;1.1102722387529423e-06;
жи;1368;0.001518852422614025;
ей;2563;0.002845627747923791;
йг;157;0.00017431274148421193;
го;8683;0.009640493849091797;
дэ;90;9.99245014877648e-05;
эт;2638;0.0029288981658302615;
из;2691;0.0029877425944841675;
зо;619;0.0006872585157880713;
об;5807;0.006447350890438335;
би;992;0.0011013900608429186;
ло;5876;0.0065239596749122886;
ов;9125;0.010131234178620599;
лк;719;0.0007982857396633654;
кр;1798;0.00199626948527779;
ив;3827;0.00424901185770751;
вы;2807;0.0031165341741795087;
ым;1783;0.001979615401696496;
ми;4126;0.004580983257094639;
ип;1930;0.0021428254207931786;
па;1189;0.0013201136918772483;
ар;2476;0.002749034063152285;
рк;399;0.00044299862326242393;
ам;3537;0.003927032908469156;
ве;5083;0.005643513789581205;
ли;7948;0.008824443753608385;
ич;1603;0.0017797663987209663;
че;4229;0.004695341297686193;
тв;3530;0.003919261002797886;
ен;10415;0.011563485366611894;
нн;3767;0.004182395523382333;
ны;4298;0.0047719500821601455;
зд;792;0.0008793356130923302;
ни;8647;0.009600524048496692;
ям;792;0.0008793356130923302;
ии;2044;0.002269396456011014;
мя;641;0.0007116845050406359;
тн;1879;0.0020862015366167786;
ик;3027;0.003360794066705156;
та;5881;0.006529511036106053;
ри;4620;0.005129457743038593;
мн;2288;0.002540302882266732;
ои;2069;0.0022971532619798373;
зт;85;9.437314029400009e-05;
оч;2486;0.0027601367855398145;
чт;3038;0.0033730070613314385;
оз;2109;0.0023415641515299552;
зн;2287;0.0025391926100279787;
ае;1708;0.0018963449837900252;
ем;5789;0.006427365990140783;
