Біграмма;Частота;Вірогідність;
те;2957;0.0055421442869245125;
од;2480;0.004648129128025969;
ор;2708;0.0050754571285057766;
 д;4318;0.008092992570490377;
ра;3826;0.007170863727349742;
йз;3;5.622736848418512e-06;
ер;4596;0.00861403285177716;
 ф;722;0.0013532053348527218;
ин;1993;0.003735371512966031;
ан;2178;0.00408210695195184;
си;776;0.001454414598124255;
ст;6538;0.012253817838320077;
ил;2199;0.004121466109890769;
ад;1031;0.0019323472302398286;
ел;3211;0.006018202673423947;
ьф;86;0.00016118512298799733;
ия;1025;0.0019211017565429914;
 г;1382;0.0025902074415047943;
де;2896;0.005427815304340003;
 р;1798;0.003369893617818828;
ся;2268;0.004250789057404395;
рэ;287;0.0005379084918320376;
нк;584;0.0010945594398254703;
 а;816;0.0015293844227698352;
лд;30;5.6227368484185116e-05;
же;2263;0.004241417829323697;
рн;390;0.0007309557902944065;
он;3495;0.006550488428407566;
 к;5190;0.009727334747764025;
ау;1081;0.0020260595110468036;
пе;1874;0.00351233628464543;
рв;1073;0.0020110655461176878;
уд;2068;0.003875939934176494;
 н;7663;0.014362344156477018;
ас;1927;0.003611671302300824;
чи;846;0.0015856117912540202;
ты;784;0.001469408563053371;
ва;2890;0.005416569830643166;
ла;2866;0.005371587935855818;
 т;3874;0.007260827516924438;
ог;2435;0.004563788075299692;
да;2535;0.004751212636913642;
 б;3642;0.006826002533980073;
ол;3096;0.005802664427567904;
ее;925;0.001733677194929041;
ву;1103;0.0020672929146018726;
хс;28;5.247887725190611e-05;
от;3190;0.005978843515485018;
 п;8106;0.015192634964426818;
ят;942;0.0017655393704034126;
ид;628;0.0011770262469356083;
ес;2884;0.005405324356946329;
и ;8971;0.016813857422387488;
ч ;141;0.00026426863187567;
жи;699;0.0013100976856815132;
ле;2428;0.004550668355986716;
й ;3740;0.007009678604361745;
го;4358;0.008167962395135958;
ро;3572;0.006694805340850308;
д ;989;0.0018536289143619693;
эт;1337;0.0025058663887785166;
 и;4971;0.009316874957829473;
зо;303;0.0005678964216902696;
би;494;0.0009258773343729149;
ло;2628;0.004925517479214616;
л ;2787;0.005223522532180797;
кр;857;0.0016062284930315547;
ив;981;0.0018386349494328533;
ым;789;0.0014787797911340686;
па;602;0.0011282958609159814;
рк;116;0.00021741249147218245;
ам;1420;0.0026614287749180954;
ве;2380;0.004460704566412019;
ли;3862;0.007238336569530764;
че;2098;0.003932167302660679;
нн;1640;0.003073762810468786;
зд;384;0.0007197103165975695;
ми;1745;0.0032705586001634344;
ни;4208;0.007886825552715032;
ка;3938;0.0073807792363573665;
 с;8290;0.015537496157796487;
та;2898;0.005431563795572282;
ри;2268;0.004250789057404395;
ны;2122;0.003977149197448027;
 м;3162;0.005926364638233111;
но;5366;0.010057201976204577;
з ;619;0.0011601580363903529;
то;6268;0.01174777152196241;
 ч;2544;0.004768080847458897;
 з;2230;0.004179567723991094;
на;4877;0.00914069586991236;
ем;2407;0.0045113091980477854;
ы ;2256;0.00422829811001072;
чт;1491;0.0027945002136640002;
о ;10976;0.020571719882747194;
по;4405;0.008256051939094514;
не;5374;0.010072195941133694;
е ;9289;0.017409867528319852;
уз;114;0.00021366400023990344;
фр;306;0.0005735191585386881;
эн;354;0.0006634829481133843;
к ;2308;0.004325758882049975;
гд;520;0.000974607720392542;
а ;7596;0.014236769700195672;
ещ;411;0.0007703149482333361;
ущ;209;0.0003917173337731563;
тв;1499;0.0028094941785931165;
ов;3553;0.006659194674143657;
ал;3457;0.0064792670949942646;
гр;316;0.0005922616147000832;
аф;28;5.247887725190611e-05;
фо;92;0.00017243059668483436;
ос;3064;0.00574268856785144;
вк;93;0.00017430484230097386;
в ;3189;0.005976969269868878;
ом;2870;0.0053790849183203765;
ск;1669;0.0031281159333368318;
ой;1838;0.0034448634424644083;
оч;882;0.0016530846334350425;
во;3305;0.00619438176134106;
се;1931;0.003619168284765382;
ти;2351;0.0044063514435439734;
 о;6245;0.011704663872791201;
ке;271;0.0005079205619738055;
их;943;0.0017674136160195522;
ар;1081;0.0020260595110468036;
ох;206;0.0003860945969247378;
бы;1930;0.0036172940391492425;
аж;570;0.0010683200011995173;
ых;739;0.0013850675103270933;
ок;916;0.0017168089843837854;
ак;2402;0.0045019379699670885;
аз;1632;0.0030587688455396703;
х ;1948;0.0036510304602397534;
пи;367;0.0006878481411231979;
м ;4472;0.008381626395375862;
оя;351;0.0006578602112649658;
ви;1350;0.00253023158178833;
сь;1286;0.002410279862355402;
 в;7617;0.0142761288581346;
ку;761;0.0014263009138821624;
рс;203;0.00038047186007631926;
ир;552;0.0010345835801090061;
бе;932;0.0017467969142420175;
сч;229;0.00042920224609594636;
ис;1641;0.0030756370560849258;
ые;717;0.0013438341067720243;
мн;733;0.0013738220366302564;
иб;296;0.0005547767023772931;
ус;570;0.0010683200011995173;
дл;474;0.0008883924220501248;
я ;5426;0.010169656713172949;
ль;2194;0.004112094881810071;
пу;365;0.0006840996498909189;
ше;1097;0.0020560474409050357;
сл;1602;0.003002541477055485;
уж;694;0.0013007264576008156;
ме;1921;0.003600425828603987;
ен;4372;0.00819420183376191;
вш;377;0.000706590597284593;
ая;853;0.0015987315105669968;
ет;2532;0.0047455899000652235;
ь ;5363;0.01005157923935616;
зн;1073;0.0020110655461176878;
 е;2532;0.0047455899000652235;
ще;828;0.001551875370163509;
вя;163;0.0003055020354307391;
за;2398;0.00449444098750253;
ди;1013;0.0018986108091493174;
лс;667;0.001250121825965049;
мь;98;0.00018367607038167138;
лк;149;0.00027926259680478605;
ба;709;0.0013288401418429083;
ащ;103;0.0001930472984623689;
ег;1835;0.0034392407056159898;
т ;2704;0.005067960146041218;
сп;756;0.0014169296858014648;
тя;290;0.0005435312286804561;
ьч;37;6.934708779716164e-05;
ик;908;0.0017018150194546694;
ач;572;0.001072068492431796;
 л;1156;0.0021666279322572666;
юб;230;0.0004310764917120859;
оз;673;0.001261367299661886;
ко;4002;0.007500730955790295;
гл;587;0.0011001821766738887;
яд;247;0.0004629386671864574;
ыв;450;0.0008434105272627767;
ат;3077;0.005767053760861254;
ьс;676;0.0012669900365103045;
ру;1131;0.002119771791853779;
жа;525;0.0009839789484732396;
ющ;180;0.0003373642109051107;
ий;549;0.0010289608432605876;
 у;2309;0.004327633127666115;
р ;852;0.0015968572649508572;
пр;3549;0.006651697691679099;
ед;1823;0.0034167497582223154;
вл;497;0.0009315000712213334;
лу;712;0.0013344628786913267;
щи;401;0.0007515724920719411;
со;1595;0.002989421757742509;
тс;763;0.0014300494051144414;
ыс;451;0.0008452847728789162;
до;2313;0.004335130110130672;
лж;199;0.00037297487761176124;
ях;127;0.000238029193249717;
ге;141;0.00026426863187567;
нр;62;0.00011620322820064924;
уо;41;7.684407026171966e-05;
рт;337;0.0006316207726390128;
гт;15;2.8113684242092558e-05;
ощ;100;0.00018742456161395039;
ьн;811;0.0015200131946891376;
аш;304;0.0005697706673064092;
ня;603;0.0011301701065321208;
ям;208;0.0003898430881570168;
кл;331;0.0006203752989421758;
яч;179;0.00033548996528897116;
лл;372;0.0006972193692038954;
н ;2497;0.004679991303500341;
тч;90;0.00016868210545255535;
 ж;1030;0.001930472984623689;
оо;144;0.00026989136872408856;
бщ;166;0.00031112477227915764;
св;926;0.0017355514405451805;
ое;1096;0.002054173195288896;
ре;3416;0.006402423024732545;
бр;529;0.0009914759309377975;
из;1096;0.002054173195288896;
нв;4;7.4969824645580154e-06;
ью;229;0.00042920224609594636;
ма;1283;0.0024046571255069834;
йо;26;4.87303860196271e-05;
ах;475;0.0008902666676662643;
тн;688;0.0012894809839039787;
ый;807;0.0015125162122245797;
хэ;11;2.0616701777534542e-05;
жн;602;0.0011282958609159814;
чн;558;0.001045829053805843;
бн;222;0.00041608252678296986;
вн;561;0.0010514517906542616;
ие;1254;0.002350304002638938;
ын;112;0.00020991550900762443;
еш;448;0.0008396620360304977;
уп;1350;0.00253023158178833;
у ;3170;0.0059413586031622275;
им;1549;0.0029032064594000915;
вс;1253;0.002348429757022798;
га;538;0.0010083441414830531;
ть;3604;0.006754781200566772;
вр;422;0.0007909316500108706;
ду;928;0.0017392999317774596;
бо;1209;0.00226596294991266;
 э;1714;0.0032124569860631095;
ыл;946;0.0017730363528679707;
пл;346;0.0006484889831842683;
ши;763;0.0014300494051144414;
су;611;0.0011451640714612368;
дь;331;0.0006203752989421758;
бу;674;0.0012632415452780257;
нг;57;0.00010683200011995172;
шь;207;0.00038796884254087727;
бс;156;0.0002923823161177626;
лн;194;0.00036360364953106375;
ож;1177;0.002205987090196196;
зм;258;0.000483555368963992;
ав;1542;0.002890086740087115;
ит;2302;0.004314513408353138;
вы;1407;0.002637063581908282;
ки;1178;0.0022078613358123356;
ху;40;7.496982464558015e-05;
ща;201;0.00037672336884404025;
дт;89;0.00016680785983641584;
ян;262;0.00049105235142855;
ут;721;0.0013513310892365822;
мч;26;4.87303860196271e-05;
зг;177;0.00033174147405669216;
ля;766;0.00143567214196286;
хо;990;0.0018555031599781088;
нб;7;1.3119719312976527e-05;
ящ;134;0.0002511489125626935;
ек;693;0.0012988522119846762;
рх;69;0.00012932294751362577;
гу;207;0.00038796884254087727;
тр;1347;0.0025246088449399117;
ря;444;0.0008321650535659397;
мо;1840;0.003448611933696687;
ао;9;1.6868210545255535e-05;
сы;144;0.00026989136872408856;
кк;5;9.37122808069752e-06;
ур;250;0.00046856140403487597;
об;2361;0.004425093899705369;
сю;70;0.00013119719312976527;
ук;321;0.0006016328427807808;
шн;138;0.00025864589502725153;
уг;509;0.0009539910186150075;
 х;588;0.0011020564222900282;
ош;351;0.0006578602112649658;
 ц;209;0.0003917173337731563;
др;477;0.0008940151588985434;
зу;182;0.0003411127021373897;
вп;142;0.00026614287749180955;
еч;548;0.001027086597644448;
ьк;529;0.0009914759309377975;
мя;293;0.0005491539655288747;
ыд;77;0.0001443169124427418;
ну;973;0.0018236409845037373;
фи;404;0.0007571952289203596;
нс;362;0.0006784769130425003;
тщ;29;5.435312286804561e-05;
вз;211;0.0003954658250054353;
с ;1578;0.002957559582268137;
зк;55;0.00010308350888767271;
еп;423;0.0007928058956270101;
оп;651;0.001220133896106817;
ул;470;0.0008808954395855668;
яр;49;9.183803519083569e-05;
ци;425;0.0007965543868592892;
ич;605;0.0011339185977643999;
лю;550;0.001030835088876727;
ьз;94;0.00017617908791711336;
ей;1261;0.0023634237219519144;
уб;299;0.0005603994392257116;
еж;410;0.0007684407026171965;
яв;193;0.0003617294039149242;
сф;15;2.8113684242092558e-05;
ыщ;19;3.561066670665057e-05;
рь;335;0.0006278722814067338;
жд;478;0.0008958894045146828;
аб;273;0.0005116690532060846;
иц;331;0.0006203752989421758;
ио;206;0.0003860945969247378;
рд;183;0.0003429869477535292;
ез;528;0.000989601685321658;
ьш;305;0.0005716449129225487;
ап;305;0.0005716449129225487;
шт;81;0.0001518138949072998;
ша;340;0.0006372435094874313;
еб;641;0.001201391439945422;
ию;216;0.00040483705308613283;
нд;163;0.0003055020354307391;
рю;40;7.496982464558015e-05;
кс;70;0.00013119719312976527;
са;571;0.0010701942468156567;
 ш;394;0.0007384527727589645;
мы;522;0.000978356211624821;
ай;404;0.0007571952289203596;
г ;304;0.0005697706673064092;
ии;547;0.0010252123520283086;
уч;546;0.0010233381064121692;
ыг;71;0.00013307143874590477;
сс;369;0.000691596632355477;
нт;503;0.0009427455449181704;
йс;271;0.0005079205619738055;
кв;63;0.00011807747381678874;
ьц;30;5.6227368484185116e-05;
рж;288;0.0005397827374481771;
пн;103;0.0001930472984623689;
ры;665;0.00124637333473277;
ып;96;0.00017992757914939237;
кт;309;0.0005791418953871067;
ев;642;0.0012032656855615615;
мл;54;0.00010120926327153321;
ея;124;0.00023240645640129848;
ю ;1310;0.0024552617571427502;
еу;78;0.0001461911580588813;
дс;429;0.0008040513693238472;
ял;366;0.0006859738955070584;
ье;199;0.00037297487761176124;
иг;275;0.0005154175444383635;
 я;812;0.001521887440305277;
сн;456;0.0008546560009596138;
уш;259;0.0004854296145801315;
ои;518;0.000970859229160263;
яз;140;0.00026239438625953054;
нь;554;0.0010383320713412852;
дв;393;0.000736578527142825;
уе;143;0.000268017123107949;
нц;129;0.000241777684481996;
