Біграмма;Частота;Вірогідність;
те;5975;0.005599308778216768;
ео;273;0.0002558345266030423;
од;4961;0.00464906625083404;
до;4724;0.004426968145321508;
ор;5392;0.005052966181112103;
р ;1784;0.0016718270895964373;
 д;8497;0.007962732500168683;
др;941;0.0008818325623936366;
ра;7561;0.007085585551815394;
ай;818;0.0007665664570010571;
йз;4;3.7484912322790077e-06;
зе;265;0.0002483375441384843;
ер;9193;0.008614969974585229;
 ф;1440;0.0013494568436204428;
фи;826;0.0007740634394656151;
ин;4031;0.00377754203932917;
на;9712;0.009101336711973431;
ан;4283;0.004013696986962747;
нс;734;0.0006878481411231979;
си;1528;0.0014319236507305808;
ис;3346;0.00313561291580139;
ст;13052;0.012231326890926403;
т ;5455;0.005112004918020497;
ил;4521;0.0042367322152833484;
ла;5829;0.005462488848238584;
ад;2087;0.001955775300441572;
де;6025;0.005646164918620256;
ел;6254;0.005860766041668229;
ль;4468;0.004187064706455652;
ьф;157;0.00014712828086695104;
ия;1989;0.0018639372652507365;
я ;10902;0.010216512853576436;
 г;2780;0.0026052014064339105;
гд;1043;0.0009774190888167513;
е ;18748;0.01756917840569171;
 р;3654;0.0034242467406868735;
ро;7159;0.006708862182971354;
ди;2003;0.001877056984563713;
лс;1296;0.0012145111592583985;
ся;4638;0.004346375583827509;
фр;607;0.0005688335444983395;
рэ;579;0.0005425941058723864;
эн;695;0.0006513003516084776;
нк;1184;0.0011095534047545863;
к ;4721;0.0044241567768972985;
 а;1689;0.001582800422829811;
ал;6899;0.006465210252873219;
лд;60;5.6227368484185116e-05;
дж;601;0.0005632108076499209;
же;4547;0.004261097408293162;
рн;768;0.0007197103165975695;
но;10742;0.010066573204285275;
он;7163;0.006712610674203633;
н ;4840;0.0045356743910575995;
 к;10276;0.00962987397572477;
ка;7943;0.007443566464498039;
ау;2086;0.0019548381776335025;
уп;2776;0.0026014529152016313;
пе;3707;0.0034739142495145703;
рв;2073;0.0019426555811285957;
ву;2293;0.002148822598903941;
уд;4065;0.0038094042148035414;
д ;2047;0.0019182903881187821;
 н;15486;0.014512283805768179;
ас;3813;0.0035732492671699642;
сч;454;0.00042545375486366735;
чи;1658;0.0015537496157796487;
ит;4647;0.0043548096891001375;
ты;1597;0.0014965851244873938;
ыв;884;0.0008284165623336607;
ва;5760;0.005397827374481771;
а ;15245;0.014286437209023369;
 т;7647;0.007166178113309393;
то;12549;0.011759954118467317;
ог;4852;0.004546919864754436;
да;5031;0.004714664847398922;
 б;7352;0.0068897268849288165;
бо;2400;0.0022490947393674046;
ол;6117;0.005732380216962672;
ле;4853;0.004547856987562506;
ее;1905;0.0017852189493728775;
дв;811;0.0007600065973445688;
ух;280;0.00026239438625953054;
хс;68;6.372435094874313e-05;
со;3243;0.0030390892665702056;
от;6325;0.005927301761041181;
 п;15963;0.01495929138521745;
пя;395;0.000370163509187552;
ят;1843;0.0017271173352725528;
ти;4770;0.004470075794492717;
ид;1316;0.0012332536154197936;
ес;5538;0.005189786111090286;
и ;17954;0.016825102896084326;
ыс;896;0.0008396620360304977;
яч;353;0.00033080435124862245;
ч ;274;0.000256771649411112;
 ж;2042;0.0019136047740784335;
жи;1355;0.001269801404934514;
ей;2562;0.0024009086342747046;
й ;7538;0.00706403172722979;
го;8644;0.008100489552954936;
 э;3472;0.0032536903896181785;
эт;2638;0.0024721299676880057;
 и;10001;0.009372165203505589;
из;2216;0.0020766641426825704;
зо;560;0.0005247887725190611;
об;4669;0.004375426390877671;
би;968;0.0009071348782115199;
ло;5270;0.004938637198527593;
ов;7000;0.006559859656488263;
л ;5508;0.005161672426848194;
кр;1709;0.001601542878991206;
ив;2007;0.0018808054757959922;
вы;2807;0.0026305037222517937;
ым;1584;0.001484402527982487;
ми;3426;0.0032105827404469702;
па;1188;0.0011133018959868653;
ар;2142;0.0020073170548854085;
рк;227;0.00021272687743183367;
ам;2971;0.002784191862775233;
 в;15337;0.014372652507365784;
ве;4869;0.004562850952491622;
ли;7701;0.00721678274494516;
ич;1221;0.001144226948653167;
че;4226;0.003960280986902771;
тв;2975;0.002787940354007512;
ен;8919;0.008358198325174118;
нн;3223;0.0030203468104088105;
ны;4298;0.004027753829083794;
 з;4514;0.00423017235562686;
зд;713;0.0006681685621537331;
ни;8312;0.007789364780675778;
ям;447;0.0004188938952071791;
мя;547;0.0005126061760141543;
тн;1379;0.001292292352328188;
ик;1891;0.0017720992300599009;
 с;16517;0.015478457420888093;
та;5825;0.005458740357006305;
ри;4474;0.00419268744330407;
ы ;4570;0.004282651232878766;
 м;6258;0.005864514532900508;
мн;1479;0.0013860046331351631;
о ;22056;0.02066918065478645;
з ;1233;0.0011554724223500042;
 ч;5023;0.004707167864934364;
чт;3032;0.0028413563540674877;
зн;2161;0.002025122388238734;
ае;1139;0.0010673828783914474;
ем;4887;0.004579719163036878;
м ;8821;0.008266360289983283;
мы;1034;0.0009689849835441235;
по;8880;0.008321650535659397;
оз;1429;0.0013391484927316754;
дн;1620;0.0015181389490729982;
не;10699;0.010026276923538276;
 у;4491;0.004208618531041256;
уз;231;0.00021647536866411268;
 е;4996;0.004681865549116481;
ещ;810;0.0007590694745364991;
ще;1669;0.0015640579666684159;
су;1270;0.001190145966248585;
ущ;389;0.0003645407723391335;
во;6544;0.006132531656008457;
ег;3763;0.0035263931267664763;
гр;639;0.0005988214743565715;
аф;53;4.966750882769685e-05;
фа;146;0.00013681992997818378;
еф;44;4.1233403555069085e-05;
фо;190;0.00017805333353325287;
ос;6252;0.0058588917960520894;
ав;3080;0.002886338248854836;
вк;202;0.0001892988072300899;
ки;2305;0.002160068072600778;
в ;6354;0.005954478322475204;
ом;5758;0.005395953128865632;
дс;880;0.0008246680711013817;
ск;3289;0.0030821969157414143;
ко;8095;0.007586009131324642;
ой;3698;0.0034654801442419426;
оч;1730;0.0016212224579606708;
се;3887;0.0036425963549671257;
ет;5098;0.004777452075539595;
