Біграмма;Частота;Вірогідність;
т;56345;0.06255821983587974;
е;81893;0.09092342349844174;
о;98914;0.10982134629241652;
д;30299;0.03364010121230491;
р;39752;0.044135493032494304;
а;67731;0.07519976551076352;
й;10513;0.011672279086602249;
з;13887;0.015418333461014498;
ф;2028;0.0022516296002691298;
и;59977;0.06659072412985285;
н;60469;0.06713697746482938;
с;48909;0.05430224463489293;
л;41865;0.04648149566827767;
ь;18022;0.020009304071030697;
я;18048;0.020038171117187996;
г;15146;0.01681616465763128;
э;4746;0.005269346194712667;
к;29136;0.03234885603226892;
ж;10039;0.011146010629734611;
у;27322;0.030334824427294457;
п;24423;0.027116148780755894;
в;39656;0.04402890701591351;
ч;13531;0.015023076982860746;
ы;16910;0.018774682712303245;
б;16420;0.01823064991933881;
х;7478;0.008302606583240904;
м;29098;0.03230666573403902;
щ;3046;0.003381885484427894;
ш;6421;0.007129050129846194;
ю;5071;0.005630184271678874;
ц;3337;0.0037049743471884054;
ъ;249;0.0002764574805064168;
