Біграмма;Частота;Вірогідність;
т;56345;0.052802135138605016;
е;81893;0.07674372620296;
о;98914;0.09269447857130139;
д;30299;0.02839385735317408;
р;39752;0.03725247095624859;
 ;166416;0.1559520830814818;
а;67731;0.06347220543212098;
й;10513;0.009851962848738212;
з;13887;0.013013812240124375;
ф;2028;0.0019004832737792346;
и;59977;0.056205761987898006;
н;60469;0.056666825977394746;
с;48909;0.04583369646808116;
л;41865;0.039232609594066895;
ь;18022;0.016888811420142685;
я;18048;0.016913176590319344;
г;15146;0.01419364874983249;
э;4746;0.004447580679169748;
к;29136;0.02730398454873362;
ж;10039;0.00940776705397916;
у;27322;0.02560404536794687;
п;24423;0.02288732889324963;
в;39656;0.037162507250980935;
ч;13531;0.01268019683309015;
ы;16910;0.01584673183412567;
б;16420;0.015387542088488675;
х;7478;0.00700779779157846;
м;29098;0.027268373915398506;
щ;3046;0.0028544733983883377;
ш;6421;0.006017259911704371;
ю;5071;0.004752145306377958;
ц;3337;0.00312717587998092;
ъ;249;0.00023334336053798296;
