Н1 для тексту з пробілами:  4.367271375829809      R =  12.654572483403825 %
Н2 для тексту з пробілами (біграми перетинаються):  3.9577141050316333      R =  58.31288851835097 %
Н2 для тексту з пробілами (біграми не перетинаються):  3.957434097356912      R =  58.04488186589432 %
H1 без пробілів:  4.468635200737929
H2 без пробілів(біграми перетинаються):  4.1523148031376795

Таблиця кількості букв:
Символ Кількість  Частота   
------------------------------
д     11067      0.02635
ж     2989       0.00712
о     40507      0.09646
н     22502      0.05358
      71275      0.16973
р     15782      0.03758
а     25824      0.06149
л     19804      0.04716
ь     8204       0.01954
у     9983       0.02377
э     1155       0.00275
т     19742      0.04701
к     11761      0.02801
и     25266      0.06017
е     25549      0.06084
ы     7179       0.01710
г     7553       0.01799
с     18781      0.04472
б     7891       0.01879
п     9966       0.02373
ш     3055       0.00727
ч     4541       0.01081
з     6041       0.01439
й     3483       0.00829
в     15083      0.03592
м     10394      0.02475
я     6516       0.01552
щ     1248       0.00297
х     3516       0.00837
ю     1774       0.00422
ц     876        0.00209
ф     637        0.00152


Таблиця кількості біграм (біграми перетинаються):
Символ Кількість  Частота   
------------------------------
дж    16         0.00004
жо    10         0.00002
он    3020       0.00719
н     2036       0.00485
 р    1774       0.00422
ро    3351       0.00798
на    3688       0.00878
ал    4210       0.01003
ль    2566       0.00611
ьд    20         0.00005
д     825        0.00196
ру    1071       0.00255
уэ    6          0.00001
эл    221        0.00053
л     3308       0.00788
 т    4068       0.00969
то    4655       0.01108
ол    2807       0.00668
лк    189        0.00045
ки    1206       0.00287
ин    1801       0.00429
 н    6890       0.01641
не    3602       0.00858
еж    353        0.00084
жд    316        0.00075
да    2180       0.00519
ан    872        0.00208
нн    985        0.00235
ны    1697       0.00404
ые    613        0.00146
е     6640       0.01581
 г    2577       0.00614
го    3456       0.00823
ос    2527       0.00602
ст    4249       0.01012
ти    1266       0.00301
и     9646       0.02297
 б    3725       0.00887
ба    262        0.00062
ар    827        0.00197
ра    3121       0.00743
нь    481        0.00115
ье    172        0.00041
 ж    592        0.00141
жа    558        0.00133
рк    181        0.00043
ко    3324       0.00792
ое    557        0.00133
 п    7108       0.01693
пе    1047       0.00249
ер    2642       0.00629
ре    2389       0.00569
ед    1013       0.00241
ды    329        0.00078
ыш    244        0.00058
шк    167        0.00040
ка    2802       0.00667
а     5747       0.01369
 ч    1700       0.00405
че    990        0.00236
ез    482        0.00115
з     829        0.00197
ор    2803       0.00667
у     2548       0.00607
 и    4805       0.01144
по    3882       0.00924
од    1982       0.00472
ой    1355       0.00323
й     2751       0.00655
 з    2219       0.00528
за    2166       0.00516
аг    333        0.00079
га    560        0.00133
ад    903        0.00215
дк    173        0.00041
 в    6878       0.01638
в     2802       0.00667
те    1961       0.00467
ем    1362       0.00324
мн    605        0.00144
но    4136       0.00985
от    2624       0.00625
из    802        0.00191
 о    5052       0.01203
ог    2026       0.00482
гн    572        0.00136
ня    482        0.00115
я     3941       0.00938
 д    3366       0.00802
лы    421        0.00100
ым    474        0.00113
мя    225        0.00054
еб    497        0.00118
бы    1288       0.00307
ыв    402        0.00096
ва    2140       0.00510
ло    2380       0.00567
пр    2527       0.00602
ри    1799       0.00428
ис    1427       0.00340
та    2259       0.00538
ни    3188       0.00759
ищ    136        0.00032
ще    321        0.00076
па    761        0.00181
ау    118        0.00028
ук    363        0.00086
 м    2190       0.00521
му    645        0.00154
ух    186        0.00044
хи    69         0.00016
бо    1708       0.00407
оч    776        0.00185
чк    141        0.00034
ах    398        0.00095
х     1717       0.00409
во    2416       0.00575
лю    362        0.00086
ю     869        0.00207
ду    625        0.00149
уш    215        0.00051
шн    119        0.00028
ый    675        0.00161
м     3302       0.00786
ге    79         0.00019
чт    1042       0.00248
о     8873       0.02113
их    868        0.00207
вн    465        0.00111
ну    1214       0.00289
ут    884        0.00211
тр    1253       0.00298
ок    932        0.00222
 х    719        0.00171
хо    1017       0.00242
оз    589        0.00140
зя    79         0.00019
яи    12         0.00003
ыл    776        0.00185
до    1704       0.00406
ом    2496       0.00594
ма    756        0.00180
ь     4717       0.01123
ту    745        0.00177
уч    343        0.00082
чи    517        0.00123
 с    6751       0.01608
со    1009       0.00240
об    1673       0.00398
би    1167       0.00278
ир    237        0.00056
аю    324        0.00077
ют    215        0.00051
тс    467        0.00111
ся    1849       0.00440
чн    324        0.00077
р     591        0.00141
гр    339        0.00081
аз    1345       0.00320
зр    112        0.00027
зи    143        0.00034
ил    3066       0.00730
ла    1582       0.00377
ас    1556       0.00371
сь    1695       0.00404
бр    571        0.00136
ат    1526       0.00363
тн    433        0.00103
пу    453        0.00108
ть    2380       0.00567
сл    1185       0.00282
ле    1609       0.00383
дн    763        0.00182
яя    29         0.00007
гл    580        0.00138
ав    1055       0.00251
бб    180        0.00043
ит    1457       0.00347
т     2198       0.00523
ли    4491       0.01069
уд    750        0.00179
хм    13         0.00003
ов    2511       0.00598
ев    621        0.00148
ус    579        0.00138
сс    194        0.00046
ск    1292       0.00308
