  : 0.16286958701085816
о : 0.09547859189465627
а : 0.07019528418828024
е : 0.0667908501601967
и : 0.055606207368371144
н : 0.05456035656467815
т : 0.04747241433032358
с : 0.04391760538098367
л : 0.042630612811672346
в : 0.03885633776103935
р : 0.037757652525553576
к : 0.029940866078262695
д : 0.025359172531514384
м : 0.0247048384146961
у : 0.023885227357397835
п : 0.021389816501954196
я : 0.019252054107877073
г : 0.01735407875039795
ь : 0.016632008182563284
ы : 0.01595870785946041
з : 0.014739451741165473
б : 0.014518630910852056
ч : 0.011478618989236678
й : 0.009590126734899852
ж : 0.00847924893823113
ш : 0.007967161368547256
х : 0.007219350949326361
ю : 0.005378274210701004
ц : 0.003309602996660593
э : 0.0025482452872364206
щ : 0.0023626474114515246
ф : 0.0017963706809545421
