Символ	Частота
о	0.11519596347041481665
е	0.08284692074775511228
а	0.08192230253820510788
и	0.06781764044729111929
н	0.06474064654655750650
т	0.05863964297316218849
с	0.05328345867143351178
л	0.05009137607857647861
в	0.04624697946470295029
р	0.04428178575957668339
к	0.03357376012563342144
д	0.03071348040365295962
м	0.02962209216476183876
у	0.02719828087894754151
п	0.02631492087978139216
я	0.02200930090351137930
г	0.01967886346225004163
ь	0.01951165913595753060
ы	0.01935791801515870242
б	0.01737535243197606966
з	0.01712302590320737006
ч	0.01445383683984691886
й	0.01118401509268765470
ж	0.01064939554550302890
ш	0.00928613741502980206
х	0.00859907963790057343
ю	0.00615659358317568323
ц	0.00362464235646051472
э	0.00306700507085120450
щ	0.00295843083299892479
ф	0.00204640723503977289
ъ	0.00042908538799221047
Ентропія: 4.462341032338907
Надлишковість: 0.10753179353221864
