	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ъ	ы	ь	э	ю	я
а	0.00030748250867508912	0.00152351502885905753	0.00547388353014240624	0.00151309189297176624	0.00312086060358642741	0.00165901579539384260	0.00147661091736624736	0.00511428534203086076	0.00159473979075554716	0.00072614513348128395	0.00620697742088188384	0.01069848039364709909	0.00404938829221261447	0.00744733059146953161	0.00145750183490621354	0.00281164090559678963	0.00387566936075776219	0.00592815853589684534	0.00658134171816709187	0.00055416339134097990	0.00071832778156581559	0.00125859365839040721	0.00011812887338929978	0.00133502998823054248	0.00160255714267101552	0.00027534450635594140	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00036133537742609343	0.00091376157945252483	0.00301836643402806411
б	0.00115349370486022141	0.00001476610917366247	0.00011118011613110568	0.00001389751451638821	0.00002258346108913084	0.00252587326335355694	0.00000608016260091984	0.00000434297328637132	0.00089899547027886227	0.00000000000000000000	0.00024320650403679368	0.00095458552834441518	0.00005124708477918152	0.00031616845524783175	0.00256322283361635041	0.00001216032520183968	0.00128465149810863522	0.00009728260161471747	0.00000955454123001689	0.00124209035990219632	0.00000000000000000000	0.00010423135887291157	0.00000521156794364558	0.00002779502903277642	0.00000781735191546837	0.00024320650403679368	0.00013202638790568800	0.00471212601571287769	0.00004429832752098742	0.00004082394889189037	0.00000434297328637132	0.00052723695696547772
в	0.00655094090516249259	0.00025536682923863336	0.00047685846684357045	0.00040302792097525811	0.00077999800223228831	0.00526542081239658299	0.00006601319395284400	0.00069487572581941051	0.00396687179977156003	0.00000000000000000000	0.00080518724729324194	0.00135066469206147921	0.00044732624849624551	0.00187269008108331128	0.00911590092809339177	0.00107792596967736052	0.00098672353066356290	0.00444894183455877591	0.00082255914043872721	0.00104491937270093853	0.00002605783971822789	0.00009380822298562041	0.00004516692217826168	0.00021280569103219446	0.00149398281051173264	0.00000608016260091984	0.00001910908246003379	0.00296017059199068849	0.00019195941925761214	0.00031616845524783175	0.00000347437862909705	0.00030053375141689503
г	0.00109008629487920014	0.00003734957026279331	0.00012247184667567109	0.00001997767711730805	0.00126727960496314995	0.00063233691049566351	0.00000955454123001689	0.00005037849012190726	0.00091636736342434754	0.00000000000000000000	0.00014939828105117324	0.00174413807180672040	0.00002779502903277642	0.00038565602782977284	0.01056037384314049109	0.00012420903599021964	0.00141494069669977464	0.00019630239254398346	0.00003300659697642200	0.00077304924497409412	0.00000260578397182279	0.00000260578397182279	0.00000173718931454853	0.00003300659697642200	0.00000781735191546837	0.00000000000000000000	0.00000000000000000000	0.00000260578397182279	0.00000173718931454853	0.00000608016260091984	0.00000608016260091984	0.00000955454123001689
д	0.00508649031299808485	0.00008338508709832926	0.00126727960496314995	0.00007383054586831236	0.00007556773518286090	0.00533230260100670157	0.00002084627177458231	0.00003821816492006758	0.00304703005771811506	0.00000000000000000000	0.00030835110333236339	0.00094503098711439827	0.00017198174214030410	0.00210547344923281378	0.00444807323990150175	0.00025015526129498777	0.00219146432030296575	0.00057935263640193353	0.00032311721250602590	0.00196476111475438328	0.00002432065040367937	0.00005298427409373005	0.00019803958185853198	0.00007643632984013516	0.00014071233447843063	0.00000086859465727426	0.00020411974445945182	0.00071659059225126704	0.00047772706150084473	0.00002605783971822789	0.00004603551683553595	0.00050465349587634691
е	0.00021454288034674298	0.00236344606244327012	0.00369326448273016653	0.00462700373929999988	0.00402072466852256352	0.00228266675931676358	0.00148355967462444134	0.00210373625991826544	0.00161037449458648388	0.00286896815297689109	0.00218798994167386865	0.00752897848925331275	0.00577615447087384982	0.01022075333214625403	0.00201948257816266180	0.00320250850137020811	0.00823514594561728860	0.00648753349518147154	0.00523241421542016121	0.00063754847843930916	0.00006948757258194104	0.00132286966302870264	0.00028750483155778108	0.00169462817634208731	0.00085469714275787493	0.00071572199759399277	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00034048910565151111	0.00032919737510694571	0.00058282701503103052
ж	0.00161298027855830660	0.00007904211381195794	0.00002692643437550216	0.00002084627177458231	0.00089465249699249101	0.00441680383223962830	0.00002258346108913084	0.00000694875725819411	0.00154609848994818823	0.00000000000000000000	0.00011812887338929978	0.00000434297328637132	0.00002518924506095363	0.00141407210204250026	0.00005819584203737563	0.00001476610917366247	0.00000608016260091984	0.00003908675957734184	0.00002518924506095363	0.00018587925665669231	0.00000086859465727426	0.00000086859465727426	0.00000000000000000000	0.00003821816492006758	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00003821816492006758	0.00000781735191546837	0.00003908675957734184	0.00000955454123001689
з	0.00604541881462887162	0.00025015526129498777	0.00105186812995913272	0.00050812787450544390	0.00084861698015695501	0.00029792796744507226	0.00018674785131396658	0.00012073465736112257	0.00045514360041171387	0.00000000000000000000	0.00030835110333236339	0.00027534450635594140	0.00037088991865611034	0.00201079663158991928	0.00085469714275787493	0.00020585693377400034	0.00030835110333236339	0.00034048910565151111	0.00008859665504197483	0.00033962051099423689	0.00000694875725819411	0.00000521156794364558	0.00001129173054456542	0.00004864130080735874	0.00002779502903277642	0.00000260578397182279	0.00002084627177458231	0.00065578896624206859	0.00072527653882400967	0.00004169254354916463	0.00008251649244105500	0.00055763776997007689
и	0.00031443126593328326	0.00146445059216440752	0.00520722497035920693	0.00123340441332945357	0.00292368961638516962	0.00378012394845759310	0.00068097821130302222	0.00285680782777505146	0.00240253282202061193	0.00144447291504709954	0.00345874392526611570	0.00580134371593480323	0.00404504531892624364	0.00581610982510846579	0.00190135370477336201	0.00265355667797287365	0.00123687879195855067	0.00559114380887443165	0.00481983175321488554	0.00055850636462735116	0.00015287265968027031	0.00215758912866926937	0.00143752415778890534	0.00207507263622821450	0.00054200306613914017	0.00016069001159573867	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00027534450635594140	0.00038999900111614416	0.00240948157927880569
й	0.00015460984899481883	0.00036394116139791625	0.00073135670142492949	0.00032138002319147735	0.00075480875717133468	0.00013550076653478504	0.00015287265968027031	0.00018674785131396658	0.00068532118458939360	0.00000260578397182279	0.00069835010444850749	0.00024754947732316500	0.00043603451795168010	0.00106489704981824651	0.00059064436694649888	0.00083993103358421238	0.00039260478508796692	0.00174587526112126874	0.00057153528448646517	0.00024494369335134218	0.00007383054586831236	0.00007209335655376384	0.00008077930312650647	0.00035351802551062506	0.00019890817651580626	0.00000260578397182279	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00007296195121103810	0.00000347437862909705	0.00007122476189648958
