	 	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ъ	ы	ь	э	ю	я
 	0.00000000000000000000	0.00237768499677855003	0.00703841351771433525	0.01490530392652909646	0.00468184084944361749	0.00755093349252514406	0.00418460911251779082	0.00194015018873693675	0.00385481998099890429	0.01117060581462647577	0.00000509607929499383	0.00979612042763385385	0.00263904106347894775	0.00547318916282337354	0.01551319338528907472	0.01215050906192100336	0.01545276844507700517	0.00411399201371573375	0.01577746149730089795	0.00720294407780985076	0.00364078465060916354	0.00075858780362622440	0.00107308869726012945	0.00034507736940386790	0.00551759785382260545	0.00079571638134689376	0.00005896891755635718	0.00000000000000000000	0.00000000000000000000	0.00000072801132785626	0.00249489482056340812	0.00002839244178639420	0.00138467754558260921
а	0.01656808179935279762	0.00000728011327856261	0.00061808161734996600	0.00311661649455265534	0.00081173263055973150	0.00185642888603346668	0.00094932677152456495	0.00117137022652072462	0.00385918804896604210	0.00010337760855558912	0.00064647405913636016	0.00398513400868517539	0.00857815747613032906	0.00269946600369101730	0.00445178926984103867	0.00000436806796713757	0.00086778950280466368	0.00281521980482016309	0.00351993477018502400	0.00481652294509702598	0.00011720982378485809	0.00051324798613866431	0.00097116711136025272	0.00006333698552349474	0.00073747547511839289	0.00128493999366630150	0.00021985942101259096	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00075276371300337438	0.00230706789797649253
б	0.00022131544366830349	0.00093622256762315227	0.00000873613593427514	0.00007789721208061997	0.00001237619257355644	0.00001965630585211906	0.00206828018243963895	0.00000582409062285009	0.00000000000000000000	0.00071490712395484875	0.00000000000000000000	0.00021257930773402835	0.00078770825674047483	0.00003931261170423812	0.00028101237255251691	0.00222844267456801621	0.00000000000000000000	0.00109056096912867962	0.00008153726871990129	0.00000800812460641888	0.00100538364376949701	0.00000000000000000000	0.00009900954058845155	0.00000364005663928131	0.00002620840780282541	0.00000509607929499383	0.00020966726242260328	0.00010337760855558912	0.00400843037117657591	0.00003858460037638186	0.00000072801132785626	0.00000364005663928131	0.00042588662679591296
в	0.00635553889218516254	0.00544479672103697927	0.00001674426054069401	0.00003276050975353176	0.00003421653240924429	0.00031086083699462366	0.00433021137808904319	0.00000072801132785626	0.00048849560099155148	0.00309113609807768613	0.00000000000000000000	0.00014269022025982725	0.00103596011953945998	0.00013832215229268968	0.00107163267460441691	0.00730122560707044573	0.00024897987412684142	0.00062608974195638482	0.00301032684068564113	0.00017545073001335902	0.00078843626806833109	0.00000000000000000000	0.00003858460037638186	0.00001237619257355644	0.00002839244178639420	0.00117719431714357475	0.00000291204531142505	0.00001164818124570018	0.00246286232213773241	0.00015579442416123994	0.00000072801132785626	0.00000072801132785626	0.00021694737570116592
г	0.00079062030205189989	0.00092384637504959574	0.00000000000000000000	0.00003712857772066933	0.00000145602265571252	0.00102067188165447850	0.00048703957833583889	0.00000145602265571252	0.00000218403398356878	0.00072364325988912384	0.00000000000000000000	0.00007571317809705118	0.00140870191940186589	0.00000436806796713757	0.00025043589678255395	0.00874996814950440571	0.00000000000000000000	0.00112696153552149271	0.00006770505349063231	0.00000655210195070635	0.00065666621772634778	0.00000000000000000000	0.00000000000000000000	0.00000145602265571252	0.00003057647576996298	0.00000582409062285009	0.00000000000000000000	0.00000000000000000000	0.00000072801132785626	0.00000291204531142505	0.00000000000000000000	0.00000291204531142505	0.00000145602265571252
д	0.00109128898045653599	0.00426032229061484163	0.00003785658904852559	0.00094932677152456495	0.00000655210195070635	0.00002839244178639420	0.00434404359331831171	0.00001164818124570018	0.00000218403398356878	0.00244247800495775696	0.00000000000000000000	0.00019073896789834050	0.00079062030205189989	0.00010847368785058296	0.00169117031461009544	0.00361967232210133171	0.00009973755191630782	0.00178653979855926555	0.00037929390181311220	0.00023805970420899750	0.00164312156697158209	0.00000655210195070635	0.00004659272498280073	0.00015725044681695247	0.00002766443045853794	0.00012521794839127697	0.00000000000000000000	0.00017909078665264032	0.00060861747008783453	0.00039749418500951875	0.00000000000000000000	0.00003858460037638186	0.00042370259281234417
е	0.01710244211399929506	0.00003130448709781924	0.00110075312771866734	0.00150771145999031744	0.00339544483312160346	0.00258516822521758427	0.00156231230957953708	0.00107527273124369814	0.00121577891751995654	0.00017836277532478405	0.00245849425417059503	0.00103741614219517251	0.00606215032705908867	0.00390432475129312995	0.00733253009416826550	0.00048703957833583889	0.00092530239770530827	0.00642688400231507598	0.00374197822518118400	0.00360948016351134420	0.00006406499685135101	0.00001019215858998766	0.00091365421645960812	0.00022713953429115356	0.00089254188795177651	0.00065593820639849151	0.00058168105095715290	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00027009220263467297	0.00036036560728884944
ж	0.00019583504719333433	0.00133371675263267101	0.00005241681560565082	0.00000000000000000000	0.00001310420390141271	0.00070107490872557980	0.00361384823147848202	0.00001528823788498149	0.00000000000000000000	0.00137521339832047786	0.00000000000000000000	0.00008153726871990129	0.00000364005663928131	0.00000946414726213140	0.00119466658901212493	0.00004149664568780690	0.00000000000000000000	0.00000291204531142505	0.00002620840780282541	0.00000000000000000000	0.00015361039017767117	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00003712857772066933	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00004295266834351943	0.00000072801132785626	0.00003203249842567550	0.00000000000000000000
з	0.00127401982374845762	0.00512665577076379299	0.00016453056009551508	0.00076877996221621212	0.00037638185650168719	0.00067268246693918553	0.00022495550030758479	0.00015142635619410237	0.00007352914411348241	0.00032178100691246755	0.00000000000000000000	0.00012012186909628314	0.00020748322843903451	0.00027882833856894811	0.00160963304589019406	0.00061953764000567853	0.00002693641913068167	0.00019656305852119060	0.00015215436752195863	0.00001528823788498149	0.00025043589678255395	0.00000000000000000000	0.00000000000000000000	0.00000291204531142505	0.00001965630585211906	0.00001164818124570018	0.00000000000000000000	0.00001383221522926897	0.00054455247323648354	0.00058896116423571546	0.00000000000000000000	0.00006479300817920727	0.00045500707991016340
и	0.01903458417812981321	0.00007207312145776988	0.00039167009438666867	0.00237622897412283728	0.00050378383887653296	0.00155940026426811202	0.00266160941464249189	0.00039676617368166248	0.00187681320321344191	0.00080736456259259391	0.00123834726868350068	0.00188409331649200457	0.00460030358072371567	0.00293461366258858988	0.00298994252350566567	0.00017326669602979022	0.00018273084329192162	0.00050159980489296416	0.00281958787278730047	0.00308531200745483600	0.00000655210195070635	0.00002038431717997532	0.00171665071108506443	0.00114807386402932432	0.00125873158586347613	0.00032906112019103016	0.00013977817494840219	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00035017344869886177	0.00183094848955849747
й	0.00741697940819959194	0.00000000000000000000	0.00001528823788498149	0.00000000000000000000	0.00000072801132785626	0.00014778629955482106	0.00000509607929499383	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000072801132785626	0.00005023278162208204	0.00006770505349063231	0.00004804874763851326	0.00037201378853454959	0.00000728011327856261	0.00000072801132785626	0.00001528823788498149	0.00064647405913636016	0.00025189191943826648	0.00000000000000000000	0.00000000000000000000	0.00000072801132785626	0.00002402437381925663	0.00006624903083491979	0.00009828152926059530	0.00000072801132785626	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
к	0.00456171898034733389	0.00708719027668070541	0.00000000000000000000	0.00033051714284674269	0.00000291204531142505	0.00000873613593427514	0.00039458213969809368	0.00001164818124570018	0.00000436806796713757	0.00236458079287713702	0.00000000000000000000	0.00001237619257355644	0.00035599753932171184	0.00000291204531142505	0.00139923777213973454	0.00812970249817087168	0.00000145602265571252	0.00149023918812176727	0.00009755351793273903	0.00043826281936946938	0.00139632572682830947	0.00000072801132785626	0.00000072801132785626	0.00001237619257355644	0.00002184033983568784	0.00000655210195070635	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000436806796713757	0.00000000000000000000
л	0.00738640293242962855	0.00672828069204756823	0.00002475238514711289	0.00000655210195070635	0.00012012186909628314	0.00024897987412684142	0.00396984577080019326	0.00035454151666599931	0.00000582409062285009	0.00625216128362957296	0.00000000000000000000	0.00055620065448218369	0.00007716920075276372	0.00000655210195070635	0.00030503674637177353	0.00600245339817487549	0.00016817061673479638	0.00000000000000000000	0.00117355426050429353	0.00004586471365494447	0.00116117806793073690	0.00000509607929499383	0.00000728011327856261	0.00000072801132785626	0.00019073896789834050	0.00000873613593427514	0.00000218403398356878	0.00000000000000000000	0.00097844722463881527	0.00359855999359350032	0.00000000000000000000	0.00101557580235948474	0.00180546809308352848
м	0.00728520935785760809	0.00270310606033029874	0.00002329636249140037	0.00000072801132785626	0.00005605687224493213	0.00000145602265571252	0.00270601810564172381	0.00000000000000000000	0.00000364005663928131	0.00317849745742043764	0.00000000000000000000	0.00007061709880205736	0.00011065772183415174	0.00001965630585211906	0.00107672875389941067	0.00337797256125305307	0.00016307453743980257	0.00004076863435995064	0.00010483363121130164	0.00004368067967137569	0.00232599619250075523	0.00000364005663928131	0.00000072801132785626	0.00002475238514711289	0.00002548039647496915	0.00000582409062285009	0.00000436806796713757	0.00000000000000000000	0.00080226848329760015	0.00004222465701566316	0.00000145602265571252	0.00003057647576996298	0.00042807066077948171
н	0.00422756178086130998	0.01039527375045955736	0.00000873613593427514	0.00001965630585211906	0.00011065772183415174	0.00079571638134689376	0.00878054462527436998	0.00001237619257355644	0.00001820028319640654	0.00764848701045788264	0.00000000000000000000	0.00019437902453762180	0.00000364005663928131	0.00000072801132785626	0.00261938475762682867	0.00849225213944328899	0.00000291204531142505	0.00005969692888421344	0.00049140764630297643	0.00038657401509167481	0.00226047517299369193	0.00000800812460641888	0.00000728011327856261	0.00059696928884213438	0.00017399470735764648	0.00002256835116354410	0.00012594595971913324	0.00000000000000000000	0.00314864899297833062	0.00097116711136025272	0.00000000000000000000	0.00012521794839127697	0.00262520884824967880
о	0.02157607172367602064	0.00000218403398356878	0.00326149074879605134	0.00764557496514645801	0.00470368118927930526	0.00458647136549444716	0.00228522755814080476	0.00165695378220085104	0.00093986262426243349	0.00083575700437898818	0.00363350453733060066	0.00154702407169455560	0.00655865405265705897	0.00491262044037405182	0.00647857280659287077	0.00019510703586547807	0.00122014698548709413	0.00615970384499182812	0.00681928210802960118	0.00690882750135592139	0.00005605687224493213	0.00031158884832247988	0.00050960792949938298	0.00006479300817920727	0.00127110777843703255	0.00106653659530942294	0.00014050618627625846	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00002329636249140037	0.00047320736310656994	0.00060060934548141571
п	0.00004368067967137569	0.00114807386402932432	0.00000000000000000000	0.00000000000000000000	0.00001019215858998766	0.00000000000000000000	0.00245995027682630735	0.00000000000000000000	0.00000000000000000000	0.00074329956574124291	0.00000000000000000000	0.00006260897419563849	0.00069306678411916087	0.00000000000000000000	0.00006552101950706352	0.00850826838865612750	0.00003931261170423812	0.00613495145984471486	0.00000509607929499383	0.00003785658904852559	0.00065812224038206031	0.00001601624921283775	0.00000000000000000000	0.00000946414726213140	0.00008226528004775754	0.00000291204531142505	0.00000218403398356878	0.00000000000000000000	0.00024169976084827881	0.00081682870985472537	0.00000145602265571252	0.00000000000000000000	0.00033415719948602402
