, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
 ,0,0.0029164531875482086,0.006291769183562014,0.01624318039783124,0.004532325899568162,0.005371228457376431,0.002823554582153333,0.0018044850320640944,0.004659005816015719,0.011145017538130655,1.689065552634098e-05,0.009610782994488016,0.0028122941451357727,0.005787864627026175,0.015257892158794683,0.009653009633303868,0.017031410989060487,0.004050942217067444,0.01468360987089909,0.007516341709221735,0.004093168855883297,0.000709407532106321,0.0011091530462297241,0.0002505447236407245,0.005131944170753267,0.0010049940038172882,0.00013512524421072783,0,0,0.002339355790398225,5.911729434219342e-05,0.0014976381233355667
а,0.018005438791079482,1.689065552634098e-05,0.000605248489693885,0.002319650025617494,0.0008417176670626587,0.0022183060924594483,0.001086632172194603,0.0011147832647385046,0.0038623298970233036,0.00029277136245657695,0.0005264254305709605,0.004354974016541582,0.008600158772161947,0.0030149820114518644,0.0051798010280779,4.222663881585244e-05,0.0008276421207907079,0.004329638033252071,0.0041494710409711,0.004796946169480837,7.600794986853439e-05,0.00016890655526340977,0.0011316739202648454,7.037773135975407e-05,0.0009205407261855833,0.0007797852634660751,0.0003547037660531605,0,0,1.126043701756065e-05,0.0007854154819748555,0.0020465844279416484
б,0.0001970576478073114,0.0009543220372382652,1.970576478073114e-05,1.689065552634098e-05,1.970576478073114e-05,5.630218508780325e-06,0.0022520874035121302,5.630218508780325e-06,2.8151092543901627e-06,0.0006699960025448588,0,0.00014920079048267863,0.0006024333804394949,4.785685732463277e-05,0.00032936778276364904,0.002001542679871406,0,0.0011119681554841144,9.85288239036557e-05,5.630218508780325e-06,0.0012696142737299635,0,3.378131105268196e-05,0,0,1.126043701756065e-05,0.000121049697938777,0.002784143052591871,0.00016046122750023928,0,1.126043701756065e-05,0.00030403179947413757
в,0.006705590243957368,0.006449415301807863,1.126043701756065e-05,0.000121049697938777,1.4075546271950814e-05,0.00029277136245657695,0.005579546542201302,0,0.0004250814974129146,0.0036314909381633103,0,0.0002280238496056032,0.0006080635989482751,0.00014920079048267863,0.0008952047428960718,0.006303029620579575,0.00023928428662316385,0.0006277693637290064,0.002122592377810183,0.0002955864717109671,0.0006080635989482751,0,4.222663881585244e-05,3.659642030707212e-05,0.00011823458868438683,0.0010106242223260685,8.44532776317049e-06,0.002640572480617973,0.0004785685732463277,0,0,0.00023646917736877367
г,0.0005433160860973014,0.002091626176011891,0,2.8151092543901627e-06,0,0.0009571371464926554,0.0004644930269743769,0,2.8151092543901627e-06,0.0006108787082026654,0,7.319284061414424e-05,0.0015286043251338585,1.4075546271950814e-05,0.00039974551412340315,0.007550123020274416,0,0.001261168945966793,8.44532776317049e-06,2.5335983289511466e-05,0.0004898290102638884,0,0,0,5.6302185087803256e-05,0,0,0,0,0,0,0
д,0.0013906639716687404,0.004242369646365976,5.6302185087803256e-05,0.0008839443058785111,1.4075546271950814e-05,1.689065552634098e-05,0.0037581708546108677,4.50417480702426e-05,1.126043701756065e-05,0.0020128031168889665,0,0.00030403179947413757,0.00042789660666730475,0.00012386480719316716,0.0019452404947836025,0.0032936778276364907,0.0001294950257019475,0.0009346162724575341,0.0003715944215795015,0.00019142742929853109,0.0014385208289933733,0,4.222663881585244e-05,0.00021676341258804253,7.319284061414424e-05,0.0001886123200441409,0,0.00044197215293925556,0.0005911729434219342,0,5.630218508780325e-06,0.00045041748070242605
е,0.016023601875988808,0.00012386480719316716,0.0008726838688609505,0.0020296937724153074,0.0029502344986008905,0.002854520783951625,0.0012555387274580127,0.0007628946079397341,0.0013681430976336191,0.0001829821015353606,0.0018973836374589698,0.0014413359382477633,0.005917359652728122,0.0036033398456194084,0.006317105166851526,0.0001886123200441409,0.0011570099035543568,0.006609876529308102,0.0038792205525496446,0.005320556490797408,0.0001801669922809704,0.00010415904241243602,0.0004166361696497441,0.00031247712723730806,0.0011344890295192356,0.0006136938174570555,0.000588357834167544,0,0,0,0.0001660914460090196,0.00013794035346511798
ж,0.0002815109254390163,0.0013737733161423996,3.659642030707212e-05,0,1.689065552634098e-05,0.0006840715488168096,0.0029277136245657695,8.44532776317049e-06,0,0.0011964214331158193,0,0.00016046122750023928,2.8151092543901628e-05,1.126043701756065e-05,0.0005742822878955932,4.50417480702426e-05,0,5.630218508780325e-06,1.4075546271950814e-05,2.8151092543901627e-06,0.0001970576478073114,0,0,0,4.785685732463277e-05,0,0,0,1.689065552634098e-05,0,0,0
з,0.0016017971657480026,0.005464127062771306,0.00014638568122828848,0.0010106242223260685,0.0002815109254390163,0.000830457230045098,0.0006643657840360785,9.289860539487537e-05,0.00010415904241243602,0.0004898290102638884,0,0.000121049697938777,0.00034625843828999,0.0002505447236407245,0.001401924408686301,0.0006277693637290064,4.50417480702426e-05,0.0002674353791670655,1.126043701756065e-05,5.630218508780325e-06,0.00041382106039535395,0,0,0,1.126043701756065e-05,2.8151092543901627e-06,0,0.0003603339845619408,0.00012667991644755734,0,2.8151092543901627e-06,0.00017735188302658026
и,0.01623191996081368,0.00021957852184243271,0.0005489463046060818,0.0027109502119777268,0.0004870139010094982,0.00138503375315996,0.0016327633675462944,0.0002477296143863343,0.0021704492351348158,0.0005405009768429113,0.001570830963949711,0.0028094790358813826,0.006027148913649339,0.002573009858512609,0.003178258348206494,0.00040537573263218346,0.00030121669021974744,0.001086632172194603,0.003006536683688694,0.004180437242769392,0.00010697415166682619,5.911729434219342e-05,0.0014723021400460553,0.0009599522557470455,0.0016327633675462944,0.0005461311953516916,0.00017735188302658026,0,0,2.8151092543901627e-06,0.0002533598328951147,0.0010303299871067997
