,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
а,0.00047002463865810474,0.001423455400348922,0.005069909892429592,0.0016576313769045615,0.003398897031150423,0.0017462837108863393,0.00149538087886244,0.005213760849456628,0.0018416267870554211,0.0006874737597454842,0.006369586562313391,0.010690133329764937,0.0045898491404905315,0.00817441426733864,0.001194297480433761,0.003435696113180595,0.005668731318193299,0.00677939452128576,0.006868046855267537,0.0006590381054494423,0.0003077741406159832,0.0014518910546449642,0.00012043335937147169,0.0015790151562037398,0.001100627089811505,0.00043489824217475884,0,0,0.00034959127928663305,0.0008831779687241256,0.0027214593846858945
б,0.001137426171841677,1.505416992143396e-05,4.348982421747588e-05,2.3417597655563937e-05,1.0036113280955973e-05,0.0027599311522628926,1.505416992143396e-05,5.018056640477986e-06,0.0008112524902106078,0,0.00019737689452546748,0.0006740922753708762,6.188936523256184e-05,0.00038304499022315296,0.0023384143944627416,1.839954101508595e-05,0.0012745863866814085,0.00010537918945003772,1.1708798827781969e-05,0.0014535637401917902,0,3.345371093651991e-05,1.6726855468259956e-06,8.363427734129978e-06,8.363427734129978e-06,0.0001538870703079916,0.0032600641307638655,0.00021243106444690144,5.185325195160586e-05,2.0072226561911945e-05,0.00039642647459776095
в,0.007563884042747152,0.00027599311522628927,0.0006239117089660963,0.0004248621288938029,0.0006055121679510104,0.006811175546675454,7.19254785135178e-05,0.0006490019921684862,0.0044526889256508,3.345371093651991e-06,0.001134080800748025,0.0009283404784884275,0.00046835195311127875,0.0015907239550315218,0.007970346630625869,0.001098954404264679,0.0010889182909837231,0.003323626181543253,0.0010119747558297273,0.0008999048241923857,4.014445312382389e-05,8.028890624764778e-05,6.188936523256184e-05,0.0003445732226461551,0.001179243310512327,3.345371093651991e-05,0.0031028316893622217,0.0005754038281081424,0.0003077741406159832,8.363427734129978e-06,0.00036631813475489303
г,0.002552518144456469,3.010833984286792e-05,5.687130859208385e-05,1.0036113280955973e-05,0.001097281718717853,0.0005804218847486204,3.345371093651991e-06,4.516250976430188e-05,0.0008129251757574338,0,0.0001137426171841677,0.0018148638183062052,2.5090283202389933e-05,0.0005068237206882766,0.009086027890358808,7.861622070082179e-05,0.0015472341308140458,7.19254785135178e-05,4.014445312382389e-05,0.0005971487402168804,1.6726855468259956e-06,3.345371093651991e-06,1.6726855468259956e-06,6.356205077938783e-05,1.6726855468259956e-06,0,0,0,8.363427734129978e-06,0,1.6726855468259956e-06
д,0.0050314381248525945,0.00012712410155877566,0.0012260785058234548,8.363427734129978e-05,5.854399413890984e-05,0.004618284794786574,6.523473632621382e-05,8.530696288812577e-05,0.0024688838671151694,0,0.0004850788085795387,0.0005452954882652746,0.00023417597655563937,0.0025173917479731234,0.003934156406134742,0.0003010833984286792,0.0012076789648083688,0.0005904579980295765,0.0003228283105374171,0.0017713739940887292,3.345371093651991e-06,4.6835195311127875e-05,0.0002509028320238993,0.00010537918945003772,0.00020239495116594546,6.690742187303982e-06,0.0005787491992017944,0.0006908191308391361,3.010833984286792e-05,1.505416992143396e-05,0.0005034783495946246
е,0.0004466070410025408,0.0019871504296292827,0.004432616699088888,0.003952555947149827,0.003999391142460955,0.0017931189061974671,0.001125717373013895,0.0023467778221968718,0.0014686179101132241,0.00220961760735714,0.002569244999924729,0.00742672382790742,0.0051836525096137604,0.009091045946999285,0.0013632387206631864,0.0036213642088782803,0.008194486493900551,0.006635543564258725,0.007100550146276351,0.0007677626659931319,0.0002258125488215094,0.0006523473632621383,0.0004114806445191949,0.0017947915917442931,0.0009199770507542976,0.0007042006152137441,0,0,0.0002994107128818532,0.00021577643554055343,0.00035460933592711103
ж,0.001567306357375958,4.6835195311127875e-05,2.676296874921593e-05,2.174491210873794e-05,0.0008664511132558657,0.0035343845604433287,1.1708798827781969e-05,1.0036113280955973e-05,0.0013649114062100124,0,0.00019235883788498948,5.185325195160586e-05,1.839954101508595e-05,0.0007961983202891739,8.363427734129978e-05,1.3381484374607965e-05,1.0036113280955973e-05,4.516250976430188e-05,2.5090283202389933e-05,0.0002291579199151614,0,6.690742187303982e-06,0,4.348982421747588e-05,0,0,0,2.174491210873794e-05,1.505416992143396e-05,0,6.690742187303982e-06
з,0.006545218544730121,0.0002609389453048553,0.001476981337847354,0.000389735732410457,0.001115681259732939,0.0007660899804463059,0.0001154153027309937,0.0001522143847611656,0.0006573654199026163,1.6726855468259956e-06,0.00033119173827154713,0.0004399162988152368,0.00038304499022315296,0.0018399541015085951,0.0008764872265368216,0.00024253940428976936,0.00036297276366124105,0.0001957042089786415,7.19254785135178e-05,0.0005335866894374926,1.6726855468259956e-06,8.363427734129978e-06,6.690742187303982e-06,6.523473632621382e-05,1.6726855468259957e-05,1.6726855468259956e-06,0.0004549704687366708,0.00018065003905720753,3.1781025389693914e-05,1.6726855468259956e-06,0.0002542482031175513
и,0.0005252232617033625,0.0014033831737870102,0.005581751669758347,0.0011574983984035888,0.0024605204393810393,0.00228488845696431,0.0004415889843620628,0.0032801363573257774,0.0016793762890132996,0.001926933749943547,0.004228549062376117,0.0076358095212606695,0.003641436435440192,0.005655349833818691,0.0017312295409649054,0.002575935742112033,0.0017613378808077733,0.005386047460779706,0.005765747079909207,0.0006640561620899203,0.00018065003905720753,0.0018182091893998572,0.001190952109340109,0.002559208886643773,0.000740999697243916,0.0002542482031175513,0,0,0.00024421208983659536,0.0002943926562413752,0.0013515299218354044
й,0.00019737689452546748,0.00039308110350410897,0.0008162705468510858,0.00042988018553428086,0.0005118417773287546,7.861622070082179e-05,0.00015723244140164358,0.00023584866210246537,0.0006908191308391361,0,0.0008396881445066498,0.0001839954101508595,0.0004783880663922347,0.001105645146451983,0.0004599885253771488,0.0010588099511408553,0.0003412278515525031,0.0013983651171465322,0.0008129251757574338,0.00020908569335324943,8.363427734129978e-05,0.00010036113280955973,0.00013883290038655763,0.0004750426952985827,0.00029773802733502723,3.010833984286792e-05,0,0,8.697964843495177e-05,6.690742187303982e-06,0.00010036113280955973
к,0.008512296747797491,0.000374681562489023,0.0011708798827781968,0.0001154153027309937,0.00012545141601194966,0.001098954404264679,0.00017897735351038154,0.00011876067382464568,0.003828777216684704,0,0.0003094468261628092,0.0010370650390321172,0.00019235883788498948,0.0012712410155877566,0.010253562402043353,0.0004382436132684108,0.0026127348241422052,0.0006540200488089643,0.0010638280077813333,0.002709750585858113,1.1708798827781969e-05,4.014445312382389e-05,3.345371093651991e-05,0.00021243106444690144,4.8507880857953874e-05,1.6726855468259956e-06,0,0,9.367039062225575e-05,5.018056640477986e-06,6.188936523256184e-05
л,0.009209806620823931,0.0004917695507668427,0.0011508076562162849,0.0004198440722533249,0.0003211556249905911,0.005631932236163127,0.0002893745996008972,0.0002191218066342054,0.008186123066166421,0,0.0011491349706694589,0.0006055121679510104,0.000374681562489023,0.0014167646581616181,0.007893403095471874,0.0010287016112979872,0.00028101117186676725,0.0031095224315495257,0.0005720584570144905,0.0017262114843244274,6.356205077938783e-05,4.014445312382389e-05,1.505416992143396e-05,0.0005553316015462305,7.025279296669181e-05,6.690742187303982e-06,0.0010203381835638572,0.004164987011596729,8.697964843495177e-05,0.0008079071191169558,0.0016375591503426496
м,0.0043757453904968045,0.00035795470702076307,0.0009283404784884275,0.00046835195311127875,0.0003228283105374171,0.003818741103403748,9.868844726273374e-05,0.0002542482031175513,0.003977646230352218,0,0.0006071848534978364,0.00041817138670649886,0.000356282021473937,0.002283215771417484,0.004042880966678431,0.001117353945279765,0.0003027560839755052,0.0012093516503551948,0.00038639036131680495,0.002263143544855572,4.348982421747588e-05,8.196159179447379e-05,1.839954101508595e-05,0.0004967876074073207,7.025279296669181e-05,8.363427734129978e-06,0.0008296520312256937,5.352593749843186e-05,0.00011708798827781969,5.018056640477986e-06,0.0006958371874796141
н,0.010969471816084878,0.00019235883788498948,0.00042820749998745487,0.0001940315234318155,0.001122372001920243,0.010514501347348208,5.185325195160586e-05,0.00020908569335324943,0.008671201874745961,0,0.0004783880663922347,3.84717675769979e-05,0.00010705187499686372,0.004138224042847513,0.01182086875941931,0.0005034783495946246,0.00012712410155877566,0.0009701576171590775,0.001137426171841677,0.004635011650254834,9.032501952860376e-05,4.181713867064989e-05,0.00036631813475489303,0.0002743204296794633,2.5090283202389933e-05,0.00020908569335324943,0.0037969961912950097,0.0010939363476242011,3.345371093651991e-05,0.0001873407812445115,0.0016927577733879076
о,0.0003027560839755052,0.004721991298689786,0.010822275487964191,0.005713893827957601,0.0061989726365371395,0.0023350690233690896,0.00228488845696431,0.0024939741503175595,0.00221798103509127,0.00452795977525797,0.004251966660031681,0.00782816835914566,0.007624100722432888,0.008875269511458733,0.0020791481347047125,0.004114806445191949,0.007893403095471874,0.008983994072002422,0.008937158876691295,0.0007259455273224821,0.0004499524120961928,0.000746017753884394,0.00018232272460403352,0.003017524726474096,0.0010588099511408553,0.00027599311522628927,0,0,0.0005519862304525785,0.00048340612303271273,0.0009617941894249475
п,0.0019838050585356307,3.345371093651991e-06,1.3381484374607965e-05,1.6726855468259956e-06,1.6726855468259956e-06,0.0025240824901604274,0,3.345371093651991e-06,0.00149538087886244,0,0.00010872456054368971,0.0010655006933281592,1.6726855468259956e-06,0.0003061014550691572,0.010904237079758666,7.52708496071698e-05,0.007722789169695621,4.6835195311127875e-05,0.00018232272460403352,0.0009500853905971654,0,0,5.018056640477986e-06,2.676296874921593e-05,2.0072226561911945e-05,0,0.00039308110350410897,0.00010370650390321172,0,3.5126396483345906e-05,0.0004532977831898448
