 ,0.15850591101733683
о,0.09312086795326362
а,0.0726902412967501
е,0.06840846614765508
и,0.057575940984132656
н,0.05395712313129792
т,0.05074368044050768
л,0.044216858821062056
с,0.0426488451734316
р,0.03994212143519698
в,0.03963245985307966
к,0.030777546157170144
у,0.025292313495755524
м,0.025252902021667866
п,0.023921357218563366
д,0.02365251466317969
г,0.016116477796560787
я,0.016044692611615407
ь,0.01522690452429647
з,0.014963692179496743
ы,0.014559724570098234
ч,0.013384418110698385
б,0.013031122396555437
й,0.009861313837790818
ж,0.007581078551290515
ш,0.0073502399173485085
х,0.006923751465614193
ю,0.004445051256029604
щ,0.002978381398910273
ц,0.00279117689699389
э,0.0025856742106796647
ф,0.0018171504659703034
